appid,name,developer,publisher,release_date,release_year,genres,categories,steamspy_tags,platforms,positive_ratings,negative_ratings,total_ratings,positive_ratio,well_received,reception_tier,owners,owners_avg,pred_positive_ratio,pred_well_received_proba,pred_owners,pred_reception_tier,reception_gap,owners_gap_log,price,price_log,is_free,achievements,achievements_log,achievements_per_dollar,required_age,num_genres,dev_avg_rating,dev_game_count,pub_avg_rating,pub_game_count,release_month,release_year_filled,name_len,name_word_count,platform_windows,platform_mac,platform_linux,num_platforms,genre_Indie,genre_Action,genre_Casual,genre_Adventure,genre_Strategy,genre_Simulation,genre_RPG,genre_Early_Access,genre_Free_to_Play,genre_Sports,cat_multiplayer,cat_singleplayer,cat_coop,cat_online_multiplayer,cat_steam_achievements,cat_steam_trading_cards,cat_full_controller_support,cat_steam_cloud,tag_Indie,tag_Action,tag_Casual,tag_Adventure,tag_Strategy,tag_Simulation,tag_Early_Access,tag_RPG,tag_Free_to_Play,tag_Puzzle,tag_VR,tag_Sports,tag_Racing,tag_Platformer,tag_Nudity
10,Counter-Strike,Valve,Valve,2000-11-01,2000,Action,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action;FPS;Multiplayer,windows;mac;linux,124534,3339,127873,0.9738881546534452,1,Great,10000000-20000000,15000000.0,0.8555652,0.9712695,11069747.0,Great,0.11832296433819867,0.3038342632331492,7.19,2.1029138978649784,0,0,0.0,0.0,0,1,0.8378695204261369,26,0.8461318903719585,30,11,2000,14,1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Team Fortress Classic,Valve,Valve,1999-04-01,1999,Action,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action;FPS;Multiplayer,windows;mac;linux,3318,633,3951,0.8397873955960516,1,Great,5000000-10000000,7500000.0,0.85640687,0.9915735,9179804.0,Great,-0.01661947190806823,-0.20210276765232393,3.99,1.6074359097634274,0,0,0.0,0.0,0,1,0.8417009706849196,26,0.84957037137343,30,4,1999,21,3,1,1,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Day of Defeat,Valve,Valve,2003-05-01,2003,Action,Multi-player;Valve Anti-Cheat enabled,FPS;World War II;Multiplayer,windows;mac;linux,3416,398,3814,0.8956476140534871,1,Great,5000000-10000000,7500000.0,0.89554334,0.98960435,13328771.0,Great,0.00010427718520100715,-0.5750218502939255,3.99,1.6074359097634274,0,0,0.0,0.0,0,1,0.8401049644432785,26,0.8481380580796497,30,5,2003,13,3,1,1,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Deathmatch Classic,Valve,Valve,2001-06-01,2001,Action,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action;FPS;Multiplayer,windows;mac;linux,1273,267,1540,0.8266233766233766,1,Great,5000000-10000000,7500000.0,0.8480025,0.99052936,8833656.0,Great,-0.02137911675812365,-0.16366587800388643,3.99,1.6074359097634274,0,0,0.0,0.0,0,1,0.8420770855127102,26,0.8499079103214473,30,6,2001,18,2,1,1,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Half-Life: Opposing Force,Gearbox Software,Valve,1999-11-01,1999,Action,Single-player;Multi-player;Valve Anti-Cheat enabled,FPS;Action;Sci-fi,windows;mac;linux,5250,288,5538,0.9479956663055255,1,Great,5000000-10000000,7500000.0,0.8459776,0.97121304,4637643.5,Great,0.10201806191633478,0.48069657164210966,3.99,1.6074359097634274,0,0,0.0,0.0,0,1,0.7456451661801162,7,0.8467958003295976,30,11,1999,25,3,1,1,1,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Ricochet,Valve,Valve,2000-11-01,2000,Action,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action;FPS;Multiplayer,windows;mac;linux,2758,684,3442,0.8012783265543288,1,Great,5000000-10000000,7500000.0,0.86379033,0.97845024,9912151.0,Great,-0.06251200671669777,-0.27885829133396456,3.99,1.6074359097634274,0,0,0.0,0.0,0,1,0.8428012298003974,26,0.8505577834001409,30,11,2000,8,1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Half-Life,Valve,Valve,1998-11-08,1998,Action,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,FPS;Classic;Action,windows;mac;linux,27755,1100,28855,0.9618783573037601,1,Great,5000000-10000000,7500000.0,0.8937797,0.9643323,13915540.0,Great,0.06809866226973305,-0.6181031338632614,7.19,2.1029138978649784,0,0,0.0,0.0,0,1,0.8382126574932708,26,0.8464398338937453,30,11,1998,9,1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Counter-Strike: Condition Zero,Valve,Valve,2004-03-01,2004,Action,Single-player;Multi-player;Valve Anti-Cheat enabled,Action;FPS;Multiplayer,windows;mac;linux,12120,1439,13559,0.8938712294416993,1,Great,10000000-20000000,15000000.0,0.9088877,0.99473554,10709886.0,Great,-0.015016454903546084,0.3368828929938914,7.19,2.1029138978649784,0,0,0.0,0.0,0,1,0.8401557182893296,26,0.8481836064030289,30,3,2004,30,3,1,1,1,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Half-Life: Blue Shift,Gearbox Software,Valve,2001-06-01,2001,Action,Single-player,FPS;Action;Sci-fi,windows;mac;linux,3822,420,4242,0.900990099009901,1,Great,5000000-10000000,7500000.0,0.87713563,0.9938875,3361470.0,Great,0.023854464587598767,0.8025244601308792,3.99,1.6074359097634274,0,0,0.0,0.0,0,1,0.7485830141360927,7,0.8480010712858955,30,6,2001,21,3,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Half-Life 2,Valve,Valve,2004-11-16,2004,Action,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,FPS;Action;Sci-fi,windows;mac;linux,67902,2419,70321,0.9656006029493324,1,Great,10000000-20000000,15000000.0,0.93273693,0.989997,10642992.0,Great,0.032863669717978605,0.34314853325268047,7.19,2.1029138978649784,0,33,3.5263605246161616,4.029304029304028,0,1,0.8381063076176829,26,0.846344391697705,30,11,2004,11,2,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
